PRODUCT CODE,PRODUCT TITLE,BRAND,PRODUCT TYPE,GTIN,PRICE
KC04879,Kleenex 4-Ply Quilted Toilet Roll (24 Pack) 8484,Kleenex®,Sanitary Refills,05027375048791,24.93
SCA48941,Tork Matic Hand Towel Roll Dispenser H1 White 551000,Tork,Sanitary Dispensers,7322540348941,24.93
TSL09662,Organic Applicator Tampons Super Pack 20 (Pack of 12) 9659,TSL,Sanitary Dispensers,5050747096625,25.04
KC03377,Kleenex Balsam Facial Tissues Cube 56 Sheets (Pack of 12) 8825,Kleenex®,Sanitary Refills,5033848033775,25.08
PX58420,Always Ultra Day And Night Sanitary Pads With Wings Size 3 Packet x9 Pads (Pack of 16) C005794,Always,Sanitary Refills,8006540584200,25.39
PX58404,Always Ultra Day Sanitary Pads Normal With Wings Size 1 Packet x13 Pads (Pack of 16) C005790,Always,Sanitary Refills,8006540584040,25.39
2W06296,2Work Enzyme Drain Cleaner 5 Litre 2W06296,2Work,Cleaning Products,5030037062967,25.56
CPD63041,Cheeky Panda Biodegradable Multipurpose Wipes 90 Wipes (Pack of 6) 706117,The Cheeky Panda,Cleaning Products,15060561630414,25.71
NH46002,Leonardo Versatwin 2-Ply Toilet Roll 125m (Pack of 24) JT81SWDS,Versatwin,Sanitary Refills,05010146002023,25.73
SCA75522,Tork T9 SmartOne Twin Mini Toilet Paper Dispenser White 682000,Tork,Sanitary Dispensers,7322540755220,25.74
KZ06160,Katrin Plus Hand Towel Non Stop L3 Handy Pack x25 (Pack of 2250) 61600,Katrin,Sanitary Refills,6414301061600,25.80
VA00487,Evans One3Five Non-Biological Laundry Powder 10kg C049AEV,Evans,Cleaning Products,5055033004872,25.94
SCA75354,Tork Extra Soft Toilet Roll White 200 Sheet 2-Ply (Pack of 40) 120240,Tork,Sanitary Refills,7322540920208,25.98
CPD63080,Cheeky Panda 3-Ply Toilet Tissue 5x 9 Rolls (Pack of 45) PFTOILT9X5,The Cheeky Panda,Sanitary Refills,15060561630803,26.20
KC01031,Scott Mini Jumbo Toilet Tissue Roll 200m (Pack of 12) 8614,Scott®,Sanitary Refills,5027375010316,26.26
KZ06157,Katrin Classic Hand Towel Non Stop M2 Wide 160 Sheets White (Pack of 25) 61570,Katrin,Sanitary Refills,6414301061570,26.43
SCA39811,Tork Basic Paper Centrefeed Roll 2-Ply 150m Blue (Pack of 6) 128107,Tork,Sanitary Refills,7322540398113,26.45
2W70683,2Work Hygiene Roll 250mmx40m 2-Ply White (Pack of 18) 2W70683,2Work,Cleaning Products,5010146706839,26.56
KC05198,Scott Essential Interfold Hand Towels White (15 Pack) 6617,Scott®,Sanitary Refills,5027375051982,26.67
WE81665,Winter Sleigh Shovel Navy Blue 383691,0,Janitorial Other,0055636816655,26.90
SCA01738,Tork T7 Coreless Mid-Size Toilet Paper Dispenser White 558040,Tork,Sanitary Dispensers,7322540898187,26.91
SCA65316,Tork Xpress Multifold Hand Towel Dispenser H2 Counter Top 552200,Tork,Sanitary Refills,7322540653168,26.91
SCA38212,Tork T6 Twin Mid-Size Toilet Roll Dispenser White 557500,Tork,Sanitary Dispensers,7322540366730,26.92
DEB09863,Deb Solopol Classic Hand Cleanser 4 Litre Refill Cartridge SOL4LTR,Deb,Sanitary Refills,4016208099414,26.98
KC05115,Scott 2-Ply Control Toilet Tissue 314m (6 Pack) 8569,Scott®,Sanitary Refills,5027375051159,27.09
NW142966,Acorn Big Bin/Twin Bin Heavy Duty Recycling Liner (Pack of 50) 504293,Acorn,Cleaning Equipment,5018062429665,27.25
NH67366,Leonardo 1-Ply Hand Towel Roll Blue (6 Pack) RTB200NDS,Leonardo,Sanitary Refills,05010146736676,27.44
NH67174,Leonardo 1-Ply Hand Towel Roll White (Pack of 6) RTW200NDS,Leonardo,Sanitary Refills,05010146717439,27.44
KC02514,Kleenex Ultra Toilet Tissue 200 Sheet White (36 Pack) 8408,Kleenex®,Sanitary Refills,5027375025143,27.48
SCA89996,Tork T2 Mini Jumbo Toilet Roll 2-Ply (Pack of 12) 120238,Tork,Sanitary Dispensers,7322540489996,27.72
SCA49122,Tork Xpress Multifold Hand Towel Dispenser H2 Wall Mounted 552000,Tork,Sanitary Refills,7322540349122,27.74
VE07676,V-Air Solid Evolution Freshener Refill Linen (Pack of 6) VEVO LINEN,V-Air,Sanitary Refills,5060060076761,27.82
VE07674,V-Air Solid Evolution Freshener Refill Mango (Pack of 6) VEVO CITRUS,V-Air,Sanitary Refills,5060060076747,27.82
VIL13972,Vileda UltraSpeed Mini 10 Litre Starter Kit Blue 129672,Vileda,Cleaning Equipment,4023103139725,27.91
WE08801,Orange Snowburner Large Blade T-Grip Snow Shovel 317597,0,Janitorial Other,5052105088013,28.01
SCA52702,Tork T1 Jumbo Toilet Paper Roll Advanced 2-Ply White 1700 Sheets (Pack of 6) 110246,Tork,Sanitary Refills,7322540527025,28.04
NH00739,Raphael 1Ply Blue Roll Towel 250m x 200mm (6 Pack) RT1B250R,Raphael,Sanitary Refills,5010146007394,28.14
DV09325,Diversey Horizon Automatic Biological Washing Powder 7.2kg 7522905,Diversey,Cleaning Products,7615400093250,28.60
KZ46021,Katrin Basic System Towel M 1-Ply Blue (Pack of 6) 460218,Katrin,Cleaning Products,6414305460218,28.64
KC01035,Scott Toilet Tissue Refills 250 Sheets Bulk (36 Pack) 8042,Scott®,Sanitary Refills,5027375010354,28.66
KC02453,Kleenex Aqua Foam Hand Soap Refill Pink 1 Litre (Pack of 6) 6340,Scott®,Sanitary Refills,5033848010042,28.77
KC03784,Wypall L20 Essential Centrefeed Wiping Paper Roll 2 Ply Blue (Pack of 6) 7277,WypAll®,Sanitary Refills,5033848037841,28.88
ESP34656,Lucart EcoNatural L-One Mini 180 Toilet Roll (Pack of 12) 812170,EcoNatural,Sanitary Refills,8005892346566,28.91
KZ10342,Katrin Classic ECO Toilet Roll 2-Ply 800 Sheets (Pack of 36) 103424,Katrin,Sanitary Refills,6414300103424,28.97
KZ03529,Katrin Classic Zig Zag 2-Ply White 200 Sheet (Pack of 20) 35298,Katrin,Sanitary Refills,6414301035298,29.00
SCA35484,Tork T2 Mini Jumbo Toilet Roll Dispenser White 555000,Tork,Sanitary Refills,7322540354843,29.08
2W06307,Dose It C2 Floor Cleaner 1 Litre (Pack of 8) 2W06307,Dose It,Cleaning Products,5060390720044,29.63
KC03862,Aquarius Slimroll Rolled Hand Towel Dispenser - White/NEW 7955,Aquarius™,Sanitary Dispensers,5033848040025,29.67
NH67184,Leonardo 2-Ply Laminated Hand Towel Roll Blue (6 Pack) RTB175NDS,Leonardo,Sanitary Refills,05010146718436,29.74
NH67186,Leonardo 2-Ply Laminated Hand Towel Roll White (6 Pack) RTW175PNDS,Leonardo,Sanitary Refills,05010146718634,29.74
2W07707,2Work Touch Free Soap Dispenser White 2W07707,2Work,Sanitary Dispensers,5050747077075,29.83
AU00482,Wypall Centrefeed Wiper Roll Dispenser 7017,Aquarius™,Sanitary Dispensers,05027375004827,29.92
KC03032,Scott Essential Everyday Use Foam Hand Cleanser 200ml Pink (Pack of 12) 6346021,Scott®,Sanitary Refills,5027375042928,30.10
TSL99970,Standard Regular/Normal Flow Non-applicator Tampons (Pack of 600) BULK6477,TSL,Sanitary Refills,5014107999674,30.44
2W00697,2Work Micro Twin Coreless Toilet Rolls 800 Sheets (Pack of 36) 2W00697,2Work,Sanitary Refills,5036479010863,30.44
SCA05853,Tork SmartOne Toilet Roll 2-Ply White 1150 Sheets (Pack of 6) 472242,Tork,Sanitary Refills,7322540656152,30.64
HH35936,Adult Tidy Up Kit/Pro Gel Litter Picker LP1633TIDY,Litterpicker Pro Gel,Cleaning Equipment,5050962432628,30.69
ERS10086,Plain Paper Waste Sack 485x150x910mm Brown (Pack of 50) 4BBS0006,Unbranded,Cleaning Equipment,5026990100860,30.97
KC00416,Kleenex Everyday Use Hand Soap Refill 1 Litre (Pack of 6) 6331,Kleenex®,Sanitary Refills,5027375007057,31.03
CPD67864,Cheeky Panda Z Fold Flushable Bamboo Hand Towel (Pack of 3000 Sheets) ZHANDTW15,The Cheeky Panda,Sanitary Dispensers,700461678649,31.06
SCA55281,Tork Xpress Multifold Hand Towel 1-Ply H2 Blue 250 Sheets (Pack of 12) 471069,Tork,Sanitary Dispensers,5010195552814,31.24
2W08668,2Work Sanitise Foam Rub Liquid Alcohol-Free (Pack of 6) 2W08668,2Work,Sanitary Refills,5050747086688,31.42
